created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-10-14T22:15:48+00:00,115,,,751.50,0.30,,,,,,,,
2024-10-14T22:15:50+00:00,116,,,,,2945.09,1.40,,,,,,
2024-10-14T22:15:55+00:00,117,6.75,6.00,,,,,,,,,,
2024-10-14T22:15:57+00:00,118,,,,,,,27.80,67.00,,,,
2024-10-14T22:15:59+00:00,119,,,752.25,0.30,,,,,,,,
2024-10-14T22:16:01+00:00,120,,,,,2903.72,1.48,,,,,,
2024-10-14T22:16:06+00:00,121,6.70,6.07,,,,,,,,,,
2024-10-14T22:16:08+00:00,122,,,,,,,27.80,67.00,,,,
2024-10-14T22:16:10+00:00,123,,,751.50,0.30,,,,,,,,
2024-10-14T22:16:12+00:00,124,,,,,2945.09,1.40,,,,,,
2024-10-14T22:16:17+00:00,125,6.75,6.00,,,,,,,,,,
2024-10-14T22:16:19+00:00,126,,,,,,,27.80,67.00,,,,
2024-10-14T22:16:21+00:00,127,,,750.75,0.30,,,,,,,,
2024-10-14T22:16:23+00:00,128,,,,,3038.46,1.25,,,,,,
2024-10-14T22:16:28+00:00,129,6.73,6.03,,,,,,,,,,
2024-10-14T22:16:30+00:00,130,,,,,,,27.80,67.00,,,,
2024-10-14T22:16:32+00:00,131,,,749.25,0.30,,,,,,,,
2024-10-14T22:16:34+00:00,132,,,,,2941.29,1.41,,,,,,
2024-10-14T22:16:39+00:00,133,6.65,6.14,,,,,,,,,,
2024-10-14T22:16:41+00:00,134,,,,,,,27.80,67.00,,,,
2024-10-14T22:16:43+00:00,135,,,753.00,0.29,,,,,,,,
2024-10-14T22:16:45+00:00,136,,,,,2933.72,1.42,,,,,,
2024-10-14T22:16:51+00:00,137,6.75,6.00,,,,,,,,,,
2024-10-14T22:16:52+00:00,138,,,,,,,27.80,67.00,,,,
2024-10-14T22:16:54+00:00,139,,,752.25,0.30,,,,,,,,
2024-10-14T22:16:56+00:00,140,,,,,2941.29,1.41,,,,,,
2024-10-14T22:17:01+00:00,141,6.75,6.00,,,,,,,,,,
2024-10-14T22:17:04+00:00,142,,,,,,,27.80,67.00,,,,
2024-10-14T22:17:06+00:00,143,,,755.25,0.29,,,,,,,,
2024-10-14T22:17:08+00:00,144,,,,,2874.17,1.54,,,,,,
2024-10-14T22:17:13+00:00,145,6.67,6.11,,,,,,,,,,
2024-10-14T22:17:15+00:00,146,,,,,,,27.80,67.00,,,,
2024-10-14T22:17:17+00:00,147,,,764.33,0.29,,,,,,,,
2024-10-14T22:17:19+00:00,148,,,,,2937.50,1.42,,,,,,
2024-10-14T22:17:24+00:00,149,6.81,5.93,,,,,,,,,,
2024-10-14T22:17:26+00:00,150,,,,,,,27.80,67.00,,,,
2024-10-14T22:17:28+00:00,151,,,756.76,0.29,,,,,,,,
2024-10-14T22:17:30+00:00,152,,,,,2956.52,1.38,,,,,,
2024-10-14T22:17:35+00:00,153,6.74,6.02,,,,,,,,,,
2024-10-14T22:17:37+00:00,154,,,,,,,27.80,67.00,,,,
2024-10-14T22:17:39+00:00,155,,,756.76,0.29,,,,,,,,
2024-10-14T22:17:41+00:00,156,,,,,2911.18,1.46,,,,,,
2024-10-14T22:17:46+00:00,157,6.74,6.01,,,,,,,,,,
2024-10-14T22:17:48+00:00,158,,,,,,,27.80,67.00,,,,
2024-10-14T22:17:50+00:00,159,,,753.75,0.29,,,,,,,,
2024-10-14T22:17:52+00:00,160,,,,,2956.52,1.38,,,,,,
2024-10-14T22:17:57+00:00,161,6.75,6.00,,,,,,,,,,
2024-10-14T22:17:59+00:00,162,,,,,,,27.80,67.00,,,,
2024-10-14T22:18:01+00:00,163,,,756.76,0.29,,,,,,,,
2024-10-14T22:18:03+00:00,164,,,,,2952.70,1.39,,,,,,
2024-10-14T22:18:08+00:00,165,6.77,5.98,,,,,,,,,,
2024-10-14T22:18:10+00:00,166,,,,,,,27.80,67.00,,,,
2024-10-14T22:18:12+00:00,167,,,759.78,0.29,,,,,,,,
2024-10-14T22:18:14+00:00,168,,,,,2956.52,1.38,,,,,,
2024-10-14T22:18:19+00:00,169,6.75,6.00,,,,,,,,,,
2024-10-14T22:18:21+00:00,170,,,,,,,27.80,67.00,,,,
2024-10-14T22:18:23+00:00,171,,,759.78,0.29,,,,,,,,
2024-10-14T22:18:25+00:00,172,,,,,2960.35,1.37,,,,,,
2024-10-14T22:18:31+00:00,173,6.77,5.98,,,,,,,,,,
2024-10-14T22:18:33+00:00,174,,,,,,,27.80,67.00,,,,
2024-10-14T22:18:34+00:00,175,,,756.00,0.29,,,,,,,,
2024-10-14T22:18:37+00:00,176,,,,,2960.35,1.37,,,,,,
2024-10-14T22:18:42+00:00,177,6.89,5.82,,,,,,,,,,
2024-10-14T22:18:44+00:00,178,,,,,,,27.80,67.00,,,,
2024-10-14T22:18:46+00:00,179,,,759.78,0.29,,,,,,,,
2024-10-14T22:18:48+00:00,180,,,,,2956.52,1.38,,,,,,
2024-10-14T22:18:53+00:00,181,6.73,6.03,,,,,,,,,,
2024-10-14T22:18:55+00:00,182,,,,,,,27.80,67.00,,,,
2024-10-14T22:18:57+00:00,183,,,760.53,0.29,,,,,,,,
2024-10-14T22:18:59+00:00,184,,,,,2971.87,1.35,,,,,,
2024-10-14T22:19:04+00:00,185,6.74,6.01,,,,,,,,,,
2024-10-14T22:19:06+00:00,186,,,,,,,27.80,67.00,,,,
2024-10-14T22:19:08+00:00,187,,,761.29,0.29,,,,,,,,
2024-10-14T22:19:10+00:00,188,,,,,2956.52,1.38,,,,,,
2024-10-14T22:19:15+00:00,189,6.77,5.98,,,,,,,,,,
2024-10-14T22:19:17+00:00,190,,,,,,,27.80,67.00,,,,
2024-10-14T22:19:19+00:00,191,,,761.29,0.29,,,,,,,,
2024-10-14T22:19:21+00:00,192,,,,,2956.52,1.38,,,,,,
2024-10-14T22:19:26+00:00,193,6.74,6.01,,,,,,,,,,
2024-10-14T22:19:28+00:00,194,,,,,,,27.80,67.00,,,,
2024-10-14T22:19:30+00:00,195,,,765.09,0.28,,,,,,,,
2024-10-14T22:19:32+00:00,196,,,,,2937.50,1.42,,,,,,
2024-10-14T22:19:37+00:00,197,6.81,5.93,,,,,,,,,,
2024-10-14T22:19:39+00:00,198,,,,,,,27.80,67.00,,,,
2024-10-14T22:19:41+00:00,199,,,764.33,0.29,,,,,,,,
2024-10-14T22:19:43+00:00,200,,,,,3002.93,1.30,,,,,,
2024-10-14T22:19:48+00:00,201,6.77,5.98,,,,,,,,,,
2024-10-14T22:19:50+00:00,202,,,,,,,27.80,67.00,,,,
2024-10-14T22:19:52+00:00,203,,,765.09,0.28,,,,,,,,
2024-10-14T22:19:54+00:00,204,,,,,2971.87,1.35,,,,,,
2024-10-14T22:19:59+00:00,205,6.72,6.05,,,,,,,,,,
2024-10-14T22:20:01+00:00,206,,,,,,,27.80,67.00,,,,
2024-10-14T22:20:03+00:00,207,,,770.43,0.28,,,,,,,,
2024-10-14T22:20:05+00:00,208,,,,,2975.73,1.35,,,,,,
2024-10-14T22:20:11+00:00,209,6.81,5.93,,,,,,,,,,
2024-10-14T22:20:13+00:00,210,,,,,,,27.80,67.00,,,,
2024-10-14T22:20:15+00:00,211,,,764.33,0.29,,,,,,,,
2024-10-14T22:20:17+00:00,212,,,,,2960.35,1.37,,,,,,
2024-10-14T22:20:22+00:00,213,6.75,6.00,,,,,,,,,,
2024-10-14T22:20:24+00:00,214,,,,,,,27.80,67.00,,,,
2024-10-14T22:20:26+00:00,215,,,760.53,0.29,,,,,,,,
2024-10-14T22:20:28+00:00,216,,,,,2960.35,1.37,,,,,,
2024-10-14T22:20:33+00:00,217,6.71,6.06,,,,,,,,,,
2024-10-14T22:20:35+00:00,218,,,,,,,27.80,67.00,,,,
2024-10-14T22:20:37+00:00,219,,,763.57,0.29,,,,,,,,
2024-10-14T22:20:39+00:00,220,,,,,2948.89,1.39,,,,,,
2024-10-14T22:20:44+00:00,221,6.74,6.01,,,,,,,,,,
2024-10-14T22:20:46+00:00,222,,,,,,,27.80,67.00,,,,
2024-10-14T22:20:48+00:00,223,,,773.49,0.28,,,,,,,,
2024-10-14T22:20:50+00:00,224,,,,,3002.93,1.30,,,,,,
2024-10-14T22:20:55+00:00,225,6.75,6.00,,,,,,,,,,
2024-10-14T22:20:57+00:00,226,,,,,,,27.80,67.00,,,,
2024-10-14T22:20:59+00:00,227,,,765.09,0.28,,,,,,,,
2024-10-14T22:21:01+00:00,228,,,,,2964.18,1.37,,,,,,
2024-10-14T22:21:06+00:00,229,6.73,6.03,,,,,,,,,,
2024-10-14T22:21:08+00:00,230,,,,,,,27.80,67.00,,,,
2024-10-14T22:21:10+00:00,231,,,765.09,0.28,,,,,,,,
2024-10-14T22:21:12+00:00,232,,,,,2971.87,1.35,,,,,,
2024-10-14T22:21:18+00:00,233,6.75,6.00,,,,,,,,,,
2024-10-14T22:21:19+00:00,234,,,,,,,27.80,67.00,,,,
2024-10-14T22:21:21+00:00,235,,,765.09,0.28,,,,,,,,
2024-10-14T22:21:23+00:00,236,,,,,3002.93,1.30,,,,,,
2024-10-14T22:21:28+00:00,237,6.76,5.99,,,,,,,,,,
2024-10-14T22:21:30+00:00,238,,,,,,,27.80,67.00,,,,
2024-10-14T22:21:32+00:00,239,,,765.09,0.28,,,,,,,,
2024-10-14T22:21:34+00:00,240,,,,,3002.93,1.30,,,,,,
2024-10-14T22:21:39+00:00,241,6.73,6.03,,,,,,,,,,
2024-10-14T22:21:41+00:00,242,,,,,,,27.80,67.00,,,,
2024-10-14T22:21:43+00:00,243,,,765.85,0.28,,,,,,,,
2024-10-14T22:21:45+00:00,244,,,,,3002.93,1.30,,,,,,
2024-10-14T22:21:51+00:00,245,6.82,5.92,,,,,,,,,,
2024-10-14T22:21:53+00:00,246,,,,,,,27.80,67.00,,,,
2024-10-14T22:21:55+00:00,247,,,765.09,0.28,,,,,,,,
2024-10-14T22:21:57+00:00,248,,,,,2937.50,1.42,,,,,,
2024-10-14T22:22:02+00:00,249,6.79,5.96,,,,,,,,,,
2024-10-14T22:22:04+00:00,250,,,,,,,27.80,67.00,,,,
2024-10-14T22:22:06+00:00,251,,,766.61,0.28,,,,,,,,
2024-10-14T22:22:08+00:00,252,,,,,3002.93,1.30,,,,,,
2024-10-14T22:22:13+00:00,253,6.73,6.03,,,,,,,,,,
2024-10-14T22:22:15+00:00,254,,,,,,,27.80,67.00,,,,
2024-10-14T22:22:17+00:00,255,,,765.85,0.28,,,,,,,,
2024-10-14T22:22:19+00:00,256,,,,,3002.93,1.30,,,,,,
2024-10-14T22:22:24+00:00,257,6.74,6.01,,,,,,,,,,
2024-10-14T22:22:26+00:00,258,,,,,,,27.80,67.00,,,,
2024-10-14T22:22:28+00:00,259,,,765.09,0.28,,,,,,,,
2024-10-14T22:22:30+00:00,260,,,,,3002.93,1.30,,,,,,
2024-10-14T22:22:35+00:00,261,6.74,6.01,,,,,,,,,,
2024-10-14T22:22:37+00:00,262,,,,,,,27.80,67.00,,,,
2024-10-14T22:22:39+00:00,263,,,767.37,0.28,,,,,,,,
2024-10-14T22:22:41+00:00,264,,,,,3002.93,1.30,,,,,,
2024-10-14T22:22:46+00:00,265,6.72,6.05,,,,,,,,,,
2024-10-14T22:22:48+00:00,266,,,,,,,27.80,67.00,,,,
2024-10-14T22:22:50+00:00,267,,,781.21,0.27,,,,,,,,
2024-10-14T22:22:52+00:00,268,,,,,3002.93,1.30,,,,,,
2024-10-14T22:22:57+00:00,269,6.74,6.01,,,,,,,,,,
2024-10-14T22:22:59+00:00,270,,,,,,,27.80,67.00,,,,
2024-10-14T22:23:01+00:00,271,,,766.61,0.28,,,,,,,,
2024-10-14T22:23:03+00:00,272,,,,,3002.93,1.30,,,,,,
2024-10-14T22:23:08+00:00,273,6.84,5.88,,,,,,,,,,
2024-10-14T22:23:10+00:00,274,,,,,,,27.80,67.00,,,,
2024-10-14T22:23:12+00:00,275,,,767.37,0.28,,,,,,,,
2024-10-14T22:23:14+00:00,276,,,,,3002.93,1.30,,,,,,
2024-10-14T22:23:19+00:00,277,6.72,6.05,,,,,,,,,,
2024-10-14T22:23:21+00:00,278,,,,,,,27.80,67.00,,,,
2024-10-14T22:23:23+00:00,279,,,768.13,0.28,,,,,,,,
2024-10-14T22:23:25+00:00,280,,,,,3006.85,1.30,,,,,,
2024-10-14T22:23:31+00:00,281,6.80,5.94,,,,,,,,,,
2024-10-14T22:23:33+00:00,282,,,,,,,27.80,67.00,,,,
2024-10-14T22:23:35+00:00,283,,,766.61,0.28,,,,,,,,
2024-10-14T22:23:37+00:00,284,,,,,3002.93,1.30,,,,,,
2024-10-14T22:23:42+00:00,285,6.76,5.99,,,,,,,,,,
2024-10-14T22:23:44+00:00,286,,,,,,,27.80,67.00,,,,
2024-10-14T22:23:46+00:00,287,,,769.66,0.28,,,,,,,,
2024-10-14T22:23:48+00:00,288,,,,,3070.58,1.20,,,,,,
2024-10-14T22:23:53+00:00,289,6.64,6.16,,,,,,,,,,
2024-10-14T22:23:55+00:00,290,,,,,,,27.80,67.00,,,,
2024-10-14T22:23:57+00:00,291,,,768.13,0.28,,,,,,,,
2024-10-14T22:23:59+00:00,292,,,,,2968.02,1.36,,,,,,
2024-10-14T22:24:04+00:00,293,6.78,5.97,,,,,,,,,,
2024-10-14T22:24:06+00:00,294,,,,,,,27.80,67.00,,,,
2024-10-14T22:24:08+00:00,295,,,769.66,0.28,,,,,,,,
2024-10-14T22:24:10+00:00,296,,,,,3002.93,1.30,,,,,,
2024-10-14T22:24:15+00:00,297,6.75,6.00,,,,,,,,,,
2024-10-14T22:24:17+00:00,298,,,,,,,27.80,67.00,,,,
2024-10-14T22:24:19+00:00,299,,,769.66,0.28,,,,,,,,
2024-10-14T22:24:21+00:00,300,,,,,3002.93,1.30,,,,,,
2024-10-14T22:24:26+00:00,301,6.72,6.05,,,,,,,,,,
2024-10-14T22:24:28+00:00,302,,,,,,,27.80,67.00,,,,
2024-10-14T22:24:30+00:00,303,,,770.43,0.28,,,,,,,,
2024-10-14T22:24:32+00:00,304,,,,,3002.93,1.30,,,,,,
2024-10-14T22:24:37+00:00,305,6.78,5.97,,,,,,,,,,
2024-10-14T22:24:39+00:00,306,,,,,,,27.80,67.00,,,,
2024-10-14T22:24:41+00:00,307,,,771.96,0.28,,,,,,,,
2024-10-14T22:24:43+00:00,308,,,,,3006.85,1.30,,,,,,
2024-10-14T22:24:48+00:00,309,6.80,5.94,,,,,,,,,,
2024-10-14T22:24:50+00:00,310,,,,,,,27.80,67.00,,,,
2024-10-14T22:24:52+00:00,311,,,772.73,0.28,,,,,,,,
2024-10-14T22:24:54+00:00,312,,,,,3002.93,1.30,,,,,,
2024-10-14T22:24:59+00:00,313,6.75,6.00,,,,,,,,,,
2024-10-14T22:25:01+00:00,314,,,,,,,27.80,67.00,,,,
2024-10-14T22:25:04+00:00,315,,,771.96,0.28,,,,,,,,
2024-10-14T22:25:06+00:00,316,,,,,3002.93,1.30,,,,,,
2024-10-14T22:25:11+00:00,317,6.84,5.89,,,,,,,,,,
2024-10-14T22:25:13+00:00,318,,,,,,,27.80,67.00,,,,
2024-10-14T22:25:15+00:00,319,,,771.96,0.28,,,,,,,,
2024-10-14T22:25:17+00:00,320,,,,,3002.93,1.30,,,,,,
2024-10-14T22:25:22+00:00,321,6.79,5.95,,,,,,,,,,
2024-10-14T22:25:24+00:00,322,,,,,,,27.80,67.00,,,,
2024-10-14T22:25:26+00:00,323,,,772.73,0.28,,,,,,,,
2024-10-14T22:25:28+00:00,324,,,,,3006.85,1.30,,,,,,
2024-10-14T22:25:33+00:00,325,6.75,6.00,,,,,,,,,,
2024-10-14T22:25:35+00:00,326,,,,,,,27.80,67.00,,,,
2024-10-14T22:25:37+00:00,327,,,781.98,0.27,,,,,,,,
2024-10-14T22:25:39+00:00,328,,,,,3006.85,1.30,,,,,,
2024-10-14T22:25:44+00:00,329,6.75,6.00,,,,,,,,,,
2024-10-14T22:25:46+00:00,330,,,,,,,27.80,67.00,,,,
2024-10-14T22:25:48+00:00,331,,,771.96,0.28,,,,,,,,
2024-10-14T22:25:50+00:00,332,,,,,2971.87,1.35,,,,,,
2024-10-14T22:25:55+00:00,333,6.77,5.98,,,,,,,,,,
2024-10-14T22:25:57+00:00,334,,,,,,,27.80,67.00,,,,
2024-10-14T22:25:59+00:00,335,,,773.49,0.28,,,,,,,,
2024-10-14T22:26:01+00:00,336,,,,,3002.93,1.30,,,,,,
2024-10-14T22:26:06+00:00,337,6.74,6.02,,,,,,,,,,
2024-10-14T22:26:08+00:00,338,,,,,,,27.80,67.00,,,,
2024-10-14T22:26:10+00:00,339,,,771.19,0.28,,,,,,,,
2024-10-14T22:26:12+00:00,340,,,,,3014.71,1.28,,,,,,
2024-10-14T22:26:18+00:00,341,6.74,6.01,,,,,,,,,,
2024-10-14T22:26:19+00:00,342,,,,,,,27.80,67.00,,,,
2024-10-14T22:26:21+00:00,343,,,772.73,0.28,,,,,,,,
2024-10-14T22:26:23+00:00,344,,,,,3002.93,1.30,,,,,,
2024-10-14T22:26:28+00:00,345,6.76,5.99,,,,,,,,,,
2024-10-14T22:26:30+00:00,346,,,,,,,27.80,67.00,,,,
2024-10-14T22:26:32+00:00,347,,,772.73,0.28,,,,,,,,
2024-10-14T22:26:34+00:00,348,,,,,3006.85,1.30,,,,,,
2024-10-14T22:26:39+00:00,349,6.73,6.03,,,,,,,,,,
2024-10-14T22:26:42+00:00,350,,,,,,,27.80,67.00,,,,
2024-10-14T22:26:43+00:00,351,,,773.49,0.28,,,,,,,,
2024-10-14T22:26:46+00:00,352,,,,,3002.93,1.30,,,,,,
2024-10-14T22:26:51+00:00,353,6.85,5.87,,,,,,,,,,
2024-10-14T22:26:53+00:00,354,,,,,,,27.80,67.00,,,,
2024-10-14T22:26:55+00:00,355,,,767.37,0.28,,,,,,,,
2024-10-14T22:26:57+00:00,356,,,,,3002.93,1.30,,,,,,
2024-10-14T22:27:02+00:00,357,6.80,5.94,,,,,,,,,,
2024-10-14T22:27:04+00:00,358,,,,,,,27.80,67.00,,,,
2024-10-14T22:27:06+00:00,359,,,772.73,0.28,,,,,,,,
2024-10-14T22:27:08+00:00,360,,,,,3006.85,1.30,,,,,,
2024-10-14T22:27:13+00:00,361,6.75,6.00,,,,,,,,,,
2024-10-14T22:27:15+00:00,362,,,,,,,27.80,67.00,,,,
2024-10-14T22:27:17+00:00,363,,,771.96,0.28,,,,,,,,
2024-10-14T22:27:19+00:00,364,,,,,3002.93,1.30,,,,,,
2024-10-14T22:27:24+00:00,365,6.74,6.02,,,,,,,,,,
2024-10-14T22:27:26+00:00,366,,,,,,,27.80,67.00,,,,
2024-10-14T22:27:28+00:00,367,,,773.49,0.28,,,,,,,,
2024-10-14T22:27:30+00:00,368,,,,,3002.93,1.30,,,,,,
2024-10-14T22:27:35+00:00,369,6.81,5.93,,,,,,,,,,
2024-10-14T22:27:37+00:00,370,,,,,,,27.80,67.00,,,,
2024-10-14T22:27:39+00:00,371,,,775.03,0.28,,,,,,,,
2024-10-14T22:27:41+00:00,372,,,,,3002.93,1.30,,,,,,
2024-10-14T22:27:46+00:00,373,6.73,6.03,,,,,,,,,,
